brand,model,version,price,affiliate_link,image_url,release_year,category,arch_support_level,width_options,toe_box_shape,heel_fit,drop_mm,stack_height_mm,cushioning_level,energy_return,stability_level,ride_character,weight_grams,terrain,best_for,durability_rating,experience_level,good_for_plantar_fasciitis,good_for_shin_splints,good_for_knee_pain,good_for_achilles_issues,budget_category,availability
Brooks,Ghost,15,140,https://example.com,https://image.com,2023,neutral,medium,standard|wide,roomy,secure,12,36,soft,medium,neutral,smooth,286,road,daily_training|long_runs,high,beginner|intermediate,TRUE,TRUE,TRUE,FALSE,midrange,in_stock
Hoka,Clifton,9,145,https://example.com,https://image.com,2023,neutral_cushioned,medium,standard,roomy,loose,5,33,soft,low,neutral,rocker,248,road,recovery_runs|daily_training,medium,beginner,TRUE,FALSE,FALSE,TRUE,midrange,in_stock
Asics,Kayano,30,160,https://example.com,https://image.com,2023,max_stability,medium,standard|wide,standard,secure,10,40,medium,medium,high,smooth,300,road,daily_training|long_runs,high,beginner|intermediate,FALSE,TRUE,TRUE,FALSE,premium,in_stock
Saucony,Endorphin Speed,4,170,https://example.com,https://image.com,2023,neutral,medium,standard,snug,secure,8,36,medium,high,neutral,bouncy,229,road,speed_work|racing,medium,intermediate|advanced,FALSE,FALSE,FALSE,FALSE,premium,in_stock
Altra,Torin,7,150,https://example.com,https://image.com,2023,low_drop,medium,standard|wide,roomy,medium,0,30,medium,medium,neutral,smooth,260,road,daily_training|walking,medium,beginner|intermediate,TRUE,FALSE,FALSE,TRUE,midrange,in_stock
Nike,Pegasus,41,140,https://example.com,https://image.com,2024,neutral,medium,standard,snug,secure,10,33,medium,medium,neutral,responsive,280,road,daily_training|speed_work,medium,beginner|intermediate,FALSE,FALSE,FALSE,FALSE,midrange,in_stock
Nike,Invincible Run,3,180,https://example.com,https://image.com,2024,neutral_cushioned,medium,standard,roomy,medium,9,40,soft,high,neutral,bouncy,290,road,recovery_runs|long_runs,medium,intermediate|advanced,TRUE,FALSE,FALSE,FALSE,premium,in_stock
Asics,Nimbus,26,160,https://example.com,https://image.com,2024,neutral_cushioned,medium,standard,snug,secure,10,41,soft,medium,neutral,smooth,305,road,daily_training|long_runs,high,beginner|intermediate,TRUE,TRUE,FALSE,FALSE,premium,in_stock
Asics,Cumulus,26,140,https://example.com,https://image.com,2024,neutral,medium,standard,snug,secure,8,37,medium,medium,neutral,responsive,275,road,daily_training,medium,beginner|intermediate,FALSE,TRUE,FALSE,FALSE,midrange,in_stock
Brooks,Adrenaline GTS,23,140,https://example.com,https://image.com,2024,mild_stability,medium,standard|wide,standard,secure,12,36,medium,medium,mild,smooth,289,road,daily_training|long_runs,high,beginner|intermediate,FALSE,TRUE,TRUE,FALSE,midrange,in_stock
Brooks,Glycerin,21,160,https://example.com,https://image.com,2024,neutral_cushioned,medium,standard|wide,roomy,medium,10,40,soft,medium,neutral,smooth,290,road,recovery_runs|long_runs,high,beginner|intermediate,TRUE,TRUE,FALSE,FALSE,premium,in_stock
Saucony,Ride,17,140,https://example.com,https://image.com,2024,neutral,medium,standard,snug,secure,8,35,medium,medium,neutral,responsive,275,road,daily_training,medium,beginner|intermediate,FALSE,TRUE,FALSE,FALSE,midrange,in_stock
Saucony,Guide,17,140,https://example.com,https://image.com,2024,mild_stability,medium,standard,snug,secure,8,36,medium,medium,mild,responsive,280,road,daily_training|long_runs,medium,beginner|intermediate,FALSE,TRUE,TRUE,FALSE,midrange,in_stock
Hoka,Bondi,8,165,https://example.com,https://image.com,2024,max_cushion,medium,standard|wide,roomy,loose,4,40,soft,low,neutral,rocker,310,road,recovery_runs|walking,high,beginner|intermediate,TRUE,FALSE,FALSE,TRUE,premium,in_stock
Hoka,Speedgoat,6,155,https://example.com,https://image.com,2024,trail,medium,standard,standard,secure,4,33,medium,medium,neutral,rocker,290,trail,trail_running|technical_terrain,high,intermediate|advanced,FALSE,FALSE,FALSE,FALSE,midrange,in_stock
Altra,Lone Peak,8,150,https://example.com,https://image.com,2024,trail,medium,standard|wide,roomy,medium,0,25,medium,medium,neutral,responsive,275,trail,trail_running|hiking,high,beginner|intermediate,TRUE,FALSE,FALSE,TRUE,midrange,in_stock
New Balance,1080,13,165,https://example.com,https://image.com,2024,neutral_cushioned,medium,standard|wide,roomy,loose,8,38,soft,medium,neutral,smooth,295,road,recovery_runs|daily_training,medium,beginner|intermediate,TRUE,TRUE,FALSE,FALSE,premium,in_stock
New Balance,860,13,140,https://example.com,https://image.com,2024,mild_stability,medium,standard|wide,standard,secure,10,34,medium,medium,mild,smooth,305,road,daily_training|long_runs,high,beginner|intermediate,FALSE,TRUE,TRUE,FALSE,midrange,in_stock
On,Cloudmonster,2,180,https://example.com,https://image.com,2024,neutral_cushioned,medium,standard,snug,medium,6,37,medium,medium,neutral,bouncy,275,road,daily_training|long_runs,medium,intermediate|advanced,FALSE,FALSE,FALSE,FALSE,premium,in_stock
On,Cloudstratus,3,170,https://example.com,https://image.com,2024,neutral,medium,standard,snug,secure,6,36,medium,medium,neutral,responsive,290,road,daily_training|long_runs,high,intermediate|advanced,FALSE,TRUE,FALSE,FALSE,premium,in_stock